,ISO Code,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
148,,Djibouti,Median,3142.0,2434.0,2195.0,1959.0,1608.0,1429.0
149,,Djibouti,Upper,3662.0,2848.0,2616.0,2374.0,2088.0,2116.0
150,DMA,Dominica,Lower,17.0,27.0,15.0,13.0,17.0,18.0
151,,Dominica,Median,19.0,30.0,16.0,15.0,20.0,23.0
152,,Dominica,Upper,21.0,33.0,18.0,17.0,23.0,30.0
153,DOM,Dominican Republic,Lower,11743.0,9923.0,7881.0,7454.0,6292.0,5197.0
154,,Dominican Republic,Median,12517.0,10654.0,8580.0,8206.0,7348.0,6710.0
155,,Dominican Republic,Upper,13346.0,11415.0,9274.0,9006.0,8655.0,8836.0
156,ECU,Ecuador,Lower,15605.0,12025.0,9414.0,7304.0,6086.0,4421.0
157,,Ecuador,Median,17317.0,13529.0,10853.0,9003.0,8332.0,7079.0
158,,Ecuador,Upper,19150.0,15154.0,12475.0,11108.0,11582.0,11494.0
159,EGY,Egypt,Lower,158856.0,99494.0,74243.0,62510.0,51574.0,52211.0
160,,Egypt,Median,166650.0,104998.0,79233.0,67869.0,58541.0,65775.0
161,,Egypt,Upper,175092.0,111218.0,84489.0,73735.0,66445.0,83214.0
162,SLV,El Salvador,Lower,8637.0,6417.0,4137.0,2600.0,1857.0,1245.0
163,,El Salvador,Median,9460.0,7046.0,4590.0,2977.0,2291.0,1763.0
164,,El Salvador,Upper,10358.0,7779.0,5094.0,3398.0,2792.0,2457.0
165,GNQ,Equatorial Guinea,Lower,2727.0,2721.0,2740.0,2525.0,2265.0,1815.0
166,,Equatorial Guinea,Median,3227.0,3104.0,3095.0,2927.0,2841.0,2655.0
167,,Equatorial Guinea,Upper,3854.0,3592.0,3556.0,3426.0,3537.0,3839.0
168,ERI,Eritrea,Lower,17921.0,12422.0,9826.0,9072.0,7130.0,5088.0
169,,Eritrea,Median,19757.0,13673.0,10899.0,10535.0,9248.0,7764.0
170,,Eritrea,Upper,21818.0,15057.0,12074.0,12215.0,12092.0,11996.0
171,EST,Estonia,Lower,469.0,188.0,129.0,103.0,69.0,31.0
172,,Estonia,Median,486.0,196.0,135.0,110.0,74.0,37.0
173,,Estonia,Upper,504.0,205.0,142.0,115.0,80.0,45.0
174,ETH,Ethiopia,Lower,411065.0,401142.0,379583.0,288777.0,180032.0,125230.0
175,,Ethiopia,Median,446103.0,435127.0,413279.0,318258.0,223370.0,184186.0
176,,Ethiopia,Upper,486133.0,472350.0,450848.0,352194.0,270294.0,261451.0
177,FJI,Fiji,Lower,510.0,490.0,452.0,436.0,438.0,336.0
178,,Fiji,Median,606.0,561.0,482.0,454.0,455.0,388.0
179,,Fiji,Upper,715.0,640.0,514.0,470.0,473.0,447.0
180,FIN,Finland,Lower,396.0,340.0,219.0,212.0,178.0,117.0
181,,Finland,Median,408.0,356.0,230.0,223.0,186.0,134.0
182,,Finland,Upper,425.0,367.0,238.0,231.0,197.0,157.0
183,FRA,France,Lower,6436.0,4541.0,4006.0,3501.0,3284.0,2998.0
184,,France,Median,6567.0,4649.0,4096.0,3595.0,3376.0,3378.0
185,,France,Upper,6722.0,4740.0,4183.0,3645.0,3423.0,3917.0
186,GAB,Gabon,Lower,2733.0,2875.0,2935.0,2739.0,2428.0,1809.0
187,,Gabon,Median,3164.0,3310.0,3397.0,3201.0,2951.0,2579.0
188,,Gabon,Upper,3690.0,3885.0,4016.0,3767.0,3564.0,3590.0
189,GMB,Gambia,Lower,6046.0,5804.0,5419.0,4945.0,4301.0,3633.0
190,,Gambia,Median,6830.0,6519.0,6161.0,5868.0,5644.0,5540.0
191,,Gambia,Upper,7731.0,7315.0,7055.0,7037.0,7365.0,8426.0
192,GEO,Georgia,Lower,4024.0,2857.0,1649.0,1254.0,934.0,566.0
193,,Georgia,Median,4497.0,3209.0,1863.0,1391.0,1026.0,673.0
194,,Georgia,Upper,4993.0,3609.0,2118.0,1513.0,1117.0,844.0
195,DEU,Germany,Lower,7124.0,4735.0,4265.0,3132.0,2722.0,2402.0
196,,Germany,Median,7226.0,4853.0,4375.0,3161.0,2784.0,2545.0
197,,Germany,Upper,7385.0,4906.0,4419.0,3243.0,2822.0,2757.0
198,GHA,Ghana,Lower,65915.0,63321.0,58519.0,56310.0,50977.0,41969.0
199,,Ghana,Median,69971.0,67362.0,62481.0,60995.0,57907.0,54061.0
200,,Ghana,Upper,74262.0,71784.0,66828.0,66197.0,65538.0,69184.0
201,GRC,Greece,Lower,1282.0,1070.0,790.0,568.0,518.0,435.0
202,,Greece,Median,1320.0,1093.0,813.0,588.0,536.0,489.0
203,,Greece,Upper,1346.0,1127.0,837.0,606.0,555.0,553.0
204,GRD,Grenada,Lower,64.0,35.0,32.0,23.0,25.0,18.0
205,,Grenada,Median,69.0,37.0,35.0,26.0,28.0,24.0
206,,Grenada,Upper,75.0,41.0,38.0,28.0,32.0,31.0
207,GTM,Guatemala,Lower,24979.0,22231.0,18046.0,14324.0,10906.0,8452.0
208,,Guatemala,Median,26827.0,24171.0,20153.0,17017.0,14197.0,12858.0
209,,Guatemala,Upper,28806.0,26178.0,22465.0,20197.0,18665.0,19829.0
210,GIN,Guinea,Lower,58310.0,63703.0,56147.0,46545.0,38921.0,31859.0
211,,Guinea,Median,62927.0,68606.0,60667.0,51289.0,45465.0,42073.0
212,,Guinea,Upper,68091.0,74098.0,65631.0,56575.0,53295.0,55663.0
213,GNB,Guinea-Bissau,Lower,9098.0,8995.0,8050.0,6980.0,5640.0,4329.0
214,,Guinea-Bissau,Median,10418.0,10103.0,9022.0,7922.0,6760.0,5883.0
215,,Guinea-Bissau,Upper,11902.0,11340.0,10124.0,9019.0,8128.0,7803.0
216,GUY,Guyana,Lower,1098.0,862.0,792.0,586.0,392.0,468.0
217,,Guyana,Median,1216.0,950.0,882.0,668.0,478.0,642.0
218,,Guyana,Upper,1348.0,1050.0,979.0,759.0,581.0,884.0
219,HTI,Haiti,Lower,34286.0,30587.0,25745.0,21469.0,51930.0,14235.0
220,,Haiti,Median,36833.0,32891.0,27905.0,23553.0,59719.0,17841.0
221,,Haiti,Upper,39597.0,35368.0,30285.0,25874.0,69441.0,22884.0
222,HND,Honduras,Lower,9772.0,8446.0,6736.0,5008.0,3703.0,2520.0
223,,Honduras,Median,10589.0,9171.0,7347.0,5550.0,4294.0,3333.0
224,,Honduras,Upper,11430.0,9939.0,8010.0,6164.0,5007.0,4436.0
225,HUN,Hungary,Lower,2749.0,1528.0,958.0,817.0,624.0,465.0
226,,Hungary,Median,2821.0,1573.0,988.0,845.0,650.0,518.0
227,,Hungary,Upper,2890.0,1611.0,1015.0,874.0,672.0,574.0
228,ISL,Iceland,Lower,25.0,22.0,14.0,12.0,10.0,6.0
229,,Iceland,Median,28.0,24.0,16.0,13.0,12.0,9.0
230,,Iceland,Upper,30.0,27.0,18.0,15.0,14.0,13.0
231,IND,India,Lower,3236313.0,2832096.0,2419099.0,1958264.0,1502976.0,1062748.0
232,,India,Median,3357317.0,2938944.0,2513120.0,2044482.0,1595122.0,1200998.0
233,,India,Upper,3481395.0,3053720.0,2613755.0,2138866.0,1690804.0,1347862.0
234,IDN,Indonesia,Lower,376269.0,296002.0,218637.0,175935.0,140027.0,121441.0
235,,Indonesia,Median,395094.0,310299.0,230082.0,187380.0,154266.0,147162.0
236,,Indonesia,Upper,414367.0,325711.0,242625.0,200097.0,170415.0,178456.0
237,IRN,Iran (Islamic Republic of),Lower,100847.0,59208.0,40687.0,28772.0,24368.0,15680.0
238,,Iran (Islamic Republic of),Median,109585.0,64495.0,44855.0,31119.0,26641.0,21010.0
239,,Iran (Islamic Republic of),Upper,119677.0,70495.0,49629.0,33717.0,29164.0,28604.0
240,IRQ,Iraq,Lower,32114.0,32268.0,33943.0,32442.0,33839.0,29452.0
241,,Iraq,Median,35205.0,35153.0,37178.0,36252.0,39743.0,38682.0
242,,Iraq,Upper,38510.0,38405.0,40768.0,40688.0,46766.0,50784.0
243,IRL,Ireland,Lower,441.0,354.0,399.0,322.0,302.0,211.0
244,,Ireland,Median,460.0,371.0,412.0,334.0,315.0,244.0
245,,Ireland,Upper,475.0,386.0,432.0,350.0,330.0,286.0
246,ISR,Israel,Lower,1148.0,917.0,873.0,730.0,682.0,599.0
247,,Israel,Median,1174.0,947.0,896.0,753.0,706.0,693.0
248,,Israel,Upper,1205.0,965.0,919.0,769.0,723.0,804.0
249,ITA,Italy,Lower,5417.0,3996.0,2815.0,2444.0,2168.0,1495.0
250,,Italy,Median,5539.0,4077.0,2845.0,2488.0,2229.0,1693.0
